TagName,RegType,Address,DataType,BitOffset,BitLen,Writeable,Description
Tag_000,CoilStatus,0,Bool,0,0,1,
Tag_001,CoilStatus,1,Bool,0,0,0,
Tag_002,CoilStatus,2,Bool,0,0,0,
Tag_003,CoilStatus,3,Bool,0,0,0,
Tag_004,CoilStatus,4,Bool,0,0,0,
Tag_005,CoilStatus,5,Bool,0,0,1,
Tag_006,CoilStatus,6,Bool,0,0,0,
Tag_007,CoilStatus,7,Bool,0,0,0,
Tag_008,CoilStatus,8,Bool,0,0,0,
Tag_009,CoilStatus,9,Bool,0,0,0,
Tag_010,CoilStatus,10,Bool,0,0,1,
Tag_011,CoilStatus,11,Bool,0,0,0,
Tag_012,CoilStatus,12,Bool,0,0,0,
Tag_013,CoilStatus,13,Bool,0,0,0,
Tag_014,CoilStatus,14,Bool,0,0,0,
Tag_015,CoilStatus,15,Bool,0,0,1,
Tag_016,CoilStatus,16,Bool,0,0,0,
Tag_017,CoilStatus,17,Bool,0,0,0,
Tag_018,CoilStatus,18,Bool,0,0,0,
Tag_019,CoilStatus,19,Bool,0,0,0,
Tag_020,CoilStatus,20,Bool,0,0,1,
Tag_021,CoilStatus,21,Bool,0,0,0,
Tag_022,CoilStatus,22,Bool,0,0,0,
Tag_023,CoilStatus,23,Bool,0,0,0,
Tag_024,CoilStatus,24,Bool,0,0,0,
Tag_025,CoilStatus,25,Bool,0,0,1,
Tag_026,CoilStatus,26,Bool,0,0,0,
Tag_027,CoilStatus,27,Bool,0,0,0,
Tag_028,CoilStatus,28,Bool,0,0,0,
Tag_029,CoilStatus,29,Bool,0,0,0,
Tag_030,CoilStatus,30,Bool,0,0,1,
Tag_031,CoilStatus,31,Bool,0,0,0,
Tag_032,CoilStatus,32,Bool,0,0,0,
Tag_033,CoilStatus,33,Bool,0,0,0,
Tag_034,CoilStatus,34,Bool,0,0,0,
Tag_035,CoilStatus,35,Bool,0,0,1,
Tag_036,CoilStatus,36,Bool,0,0,0,
Tag_037,CoilStatus,37,Bool,0,0,0,
Tag_038,CoilStatus,38,Bool,0,0,0,
Tag_039,CoilStatus,39,Bool,0,0,0,
Tag_040,CoilStatus,40,Bool,0,0,1,
Tag_041,CoilStatus,41,Bool,0,0,0,
Tag_042,CoilStatus,42,Bool,0,0,0,
Tag_043,CoilStatus,43,Bool,0,0,0,
Tag_044,CoilStatus,44,Bool,0,0,0,
Tag_045,CoilStatus,45,Bool,0,0,1,
Tag_046,CoilStatus,46,Bool,0,0,0,
Tag_047,CoilStatus,47,Bool,0,0,0,
Tag_048,CoilStatus,48,Bool,0,0,0,
Tag_049,CoilStatus,49,Bool,0,0,0,
