TagName,RegType,Address,DataType,BitOffset,BitLen,Writeable,Description
Int16_Off00_Len01,HoldingReg,0,Int16,0,1,0,
Int16_Off00_Len02,HoldingReg,0,Int16,0,2,0,
Int16_Off00_Len03,HoldingReg,0,Int16,0,3,0,
Int16_Off00_Len04,HoldingReg,0,Int16,0,4,0,
Int16_Off00_Len05,HoldingReg,0,Int16,0,5,0,
Int16_Off00_Len06,HoldingReg,0,Int16,0,6,0,
Int16_Off00_Len07,HoldingReg,0,Int16,0,7,0,
Int16_Off00_Len08,HoldingReg,0,Int16,0,8,0,
Int16_Off00_Len09,HoldingReg,0,Int16,0,9,0,
Int16_Off00_Len10,HoldingReg,0,Int16,0,10,0,
Int16_Off00_Len11,HoldingReg,0,Int16,0,11,0,
Int16_Off00_Len12,HoldingReg,0,Int16,0,12,0,
Int16_Off00_Len13,HoldingReg,0,Int16,0,13,0,
Int16_Off00_Len14,HoldingReg,0,Int16,0,14,0,
Int16_Off00_Len15,HoldingReg,0,Int16,0,15,0,
Int16_Off00_Len16,HoldingReg,0,Int16,0,16,0,
Int16_Off01_Len00,HoldingReg,0,Int16,1,0,0,
Int16_Off01_Len01,HoldingReg,0,Int16,1,1,0,
Int16_Off01_Len02,HoldingReg,0,Int16,1,2,0,
Int16_Off01_Len03,HoldingReg,0,Int16,1,3,0,
Int16_Off01_Len04,HoldingReg,0,Int16,1,4,0,
Int16_Off01_Len05,HoldingReg,0,Int16,1,5,0,
Int16_Off01_Len06,HoldingReg,0,Int16,1,6,0,
Int16_Off01_Len07,HoldingReg,0,Int16,1,7,0,
Int16_Off01_Len08,HoldingReg,0,Int16,1,8,0,
Int16_Off01_Len09,HoldingReg,0,Int16,1,9,0,
Int16_Off01_Len10,HoldingReg,0,Int16,1,10,0,
Int16_Off01_Len11,HoldingReg,0,Int16,1,11,0,
Int16_Off01_Len12,HoldingReg,0,Int16,1,12,0,
Int16_Off01_Len13,HoldingReg,0,Int16,1,13,0,
Int16_Off01_Len14,HoldingReg,0,Int16,1,14,0,
Int16_Off01_Len15,HoldingReg,0,Int16,1,15,0,
Int16_Off02_Len00,HoldingReg,0,Int16,2,0,0,
Int16_Off02_Len01,HoldingReg,0,Int16,2,1,0,
Int16_Off02_Len02,HoldingReg,0,Int16,2,2,0,
Int16_Off02_Len03,HoldingReg,0,Int16,2,3,0,
Int16_Off02_Len04,HoldingReg,0,Int16,2,4,0,
Int16_Off02_Len05,HoldingReg,0,Int16,2,5,0,
Int16_Off02_Len06,HoldingReg,0,Int16,2,6,0,
Int16_Off02_Len07,HoldingReg,0,Int16,2,7,0,
Int16_Off02_Len08,HoldingReg,0,Int16,2,8,0,
Int16_Off02_Len09,HoldingReg,0,Int16,2,9,0,
Int16_Off02_Len10,HoldingReg,0,Int16,2,10,0,
Int16_Off02_Len11,HoldingReg,0,Int16,2,11,0,
Int16_Off02_Len12,HoldingReg,0,Int16,2,12,0,
Int16_Off02_Len13,HoldingReg,0,Int16,2,13,0,
Int16_Off02_Len14,HoldingReg,0,Int16,2,14,0,
Int16_Off03_Len00,HoldingReg,0,Int16,3,0,0,
Int16_Off03_Len01,HoldingReg,0,Int16,3,1,0,
Int16_Off03_Len02,HoldingReg,0,Int16,3,2,0,
Int16_Off03_Len03,HoldingReg,0,Int16,3,3,0,
Int16_Off03_Len04,HoldingReg,0,Int16,3,4,0,
Int16_Off03_Len05,HoldingReg,0,Int16,3,5,0,
Int16_Off03_Len06,HoldingReg,0,Int16,3,6,0,
Int16_Off03_Len07,HoldingReg,0,Int16,3,7,0,
Int16_Off03_Len08,HoldingReg,0,Int16,3,8,0,
Int16_Off03_Len09,HoldingReg,0,Int16,3,9,0,
Int16_Off03_Len10,HoldingReg,0,Int16,3,10,0,
Int16_Off03_Len11,HoldingReg,0,Int16,3,11,0,
Int16_Off03_Len12,HoldingReg,0,Int16,3,12,0,
Int16_Off03_Len13,HoldingReg,0,Int16,3,13,0,
Int16_Off04_Len00,HoldingReg,0,Int16,4,0,0,
Int16_Off04_Len01,HoldingReg,0,Int16,4,1,0,
Int16_Off04_Len02,HoldingReg,0,Int16,4,2,0,
Int16_Off04_Len03,HoldingReg,0,Int16,4,3,0,
Int16_Off04_Len04,HoldingReg,0,Int16,4,4,0,
Int16_Off04_Len05,HoldingReg,0,Int16,4,5,0,
Int16_Off04_Len06,HoldingReg,0,Int16,4,6,0,
Int16_Off04_Len07,HoldingReg,0,Int16,4,7,0,
Int16_Off04_Len08,HoldingReg,0,Int16,4,8,0,
Int16_Off04_Len09,HoldingReg,0,Int16,4,9,0,
Int16_Off04_Len10,HoldingReg,0,Int16,4,10,0,
Int16_Off04_Len11,HoldingReg,0,Int16,4,11,0,
Int16_Off04_Len12,HoldingReg,0,Int16,4,12,0,
Int16_Off05_Len00,HoldingReg,0,Int16,5,0,0,
Int16_Off05_Len01,HoldingReg,0,Int16,5,1,0,
Int16_Off05_Len02,HoldingReg,0,Int16,5,2,0,
Int16_Off05_Len03,HoldingReg,0,Int16,5,3,0,
Int16_Off05_Len04,HoldingReg,0,Int16,5,4,0,
Int16_Off05_Len05,HoldingReg,0,Int16,5,5,0,
Int16_Off05_Len06,HoldingReg,0,Int16,5,6,0,
Int16_Off05_Len07,HoldingReg,0,Int16,5,7,0,
Int16_Off05_Len08,HoldingReg,0,Int16,5,8,0,
Int16_Off05_Len09,HoldingReg,0,Int16,5,9,0,
Int16_Off05_Len10,HoldingReg,0,Int16,5,10,0,
Int16_Off05_Len11,HoldingReg,0,Int16,5,11,0,
Int16_Off06_Len00,HoldingReg,0,Int16,6,0,0,
Int16_Off06_Len01,HoldingReg,0,Int16,6,1,0,
Int16_Off06_Len02,HoldingReg,0,Int16,6,2,0,
Int16_Off06_Len03,HoldingReg,0,Int16,6,3,0,
Int16_Off06_Len04,HoldingReg,0,Int16,6,4,0,
Int16_Off06_Len05,HoldingReg,0,Int16,6,5,0,
Int16_Off06_Len06,HoldingReg,0,Int16,6,6,0,
Int16_Off06_Len07,HoldingReg,0,Int16,6,7,0,
Int16_Off06_Len08,HoldingReg,0,Int16,6,8,0,
Int16_Off06_Len09,HoldingReg,0,Int16,6,9,0,
Int16_Off06_Len10,HoldingReg,0,Int16,6,10,0,
Int16_Off07_Len00,HoldingReg,0,Int16,7,0,0,
Int16_Off07_Len01,HoldingReg,0,Int16,7,1,0,
Int16_Off07_Len02,HoldingReg,0,Int16,7,2,0,
Int16_Off07_Len03,HoldingReg,0,Int16,7,3,0,
Int16_Off07_Len04,HoldingReg,0,Int16,7,4,0,
Int16_Off07_Len05,HoldingReg,0,Int16,7,5,0,
